__________________________________________________
idx: 1089-134686-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
13	ITY▁	ITY▁	ITY▁	null	0.99	0.0	1.0
14	HER▁	HER▁	HER▁	null	0.99	0.0	1.0
15	HO	HO	HO	null	1.0	0.0	1.0
16	LI	LI	LI	LI	1.0	0.0	0.99
17	NESS▁	NESS▁	NESS▁	M	0.93	0.03	0.26
18	A▁	A▁	A▁	null	0.86	0.0	1.0
19	STR	STR	STR	null	1.0	0.0	1.0
20	AN	AN	AN	null	1.0	0.0	1.0
21	G	G	G	null	0.94	0.0	0.95
22	E▁	E▁	E▁	null	0.99	0.0	0.71
23	LIGHT▁	LIGHT▁	LIGHT▁	null	1.0	0.0	1.0
24	G	G	G	null	1.0	0.0	0.99
25	L	L	L	null	1.0	0.0	0.85
26	OWING▁	OWING▁	OWING▁	null	1.0	0.0	0.81
27	FA	FA	FA	null	1.0	0.0	0.99
28	I	I	I	null	1.0	0.0	0.87
29	NTLY▁	NTLY▁	NTLY▁	null	1.0	0.0	0.94
30	UPON▁	UPON▁	UPON▁	null	1.0	0.0	1.0
31	HER▁	HER▁	HER▁	null	0.99	0.0	1.0
32	FR	FR	FR	null	1.0	0.0	0.99
33	AIL▁	AIL▁	AIL▁	AIL▁	1.0	0.07	1.0
34	F	F	F	null	1.0	0.0	0.99
35	LE	LE	LE	null	1.0	0.0	1.0
36	S	S	S	null	0.99	0.0	0.72
37	H▁	H▁	H▁	null	0.98	0.0	0.63
38	DID▁	DID▁	DID▁	null	1.0	0.0	1.0
39	NOT▁	NOT▁	NOT▁	null	0.99	0.0	1.0
40	HU	HU	HU	null	0.88	0.0	1.0
41	MIL	MIL	MIL	MIL	0.99	0.0	1.0
42	I	I	I	null	0.99	0.0	1.0
43	ATE▁	AM	ATE▁	AM	0.33	0.93	0.91
44	THE▁	AD	AD	AD	0.51	1.0	0.81
45	S	AP	AP	AP	0.96	1.0	0.9
46	IN	PE	P	PE	0.41	1.0	0.5
47	ER▁	ER▁	ER▁	null	0.75	0.01	0.55
48	WHO▁	WHO▁	WHO▁	null	1.0	0.0	1.0
49	AP	AP	AP	null	1.0	0.0	1.0
50	PRO	PRO	PRO	null	1.0	0.0	0.99
51	A	A	A	null	0.73	0.0	0.98
52	CH	CH	CH	CH	1.0	0.0	0.7
53	ED▁	ED▁	ED▁	AT	0.95	0.0	0.58
54	HER▁	HER▁	HER▁	null	0.99	0.0	0.98
==================================================

__________________________________________________
idx: 1089-134686-0013
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IF▁	IF▁	IF▁	null	0.52	0.0	0.97
1	EVER▁	EVER▁	EVER▁	null	1.0	0.0	0.97
2	HE▁	HE▁	HE▁	null	0.51	0.0	1.0
3	WAS▁	WAS▁	WAS▁	null	0.9	0.0	1.0
4	IMP	IMP	IMP	null	1.0	0.0	1.0
5	EL	EL	EL	EL	0.97	0.0	1.0
6	LED▁	B	M	B	0.19	0.93	0.57
7	LED▁	'	ED▁	'	1.0	1.0	0.47
8	TO▁	TO▁	TO▁	null	0.49	0.0	1.0
9	CA	CA	CA	null	0.97	0.0	1.0
10	ST▁	ST▁	ST▁	null	1.0	0.0	1.0
11	S	S	S	null	1.0	0.0	0.99
12	IN▁	IN▁	IN▁	null	0.99	0.0	0.76
13	FROM▁	FROM▁	FROM▁	null	1.0	0.0	1.0
14	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
15	AND▁	AND▁	AND▁	null	0.99	0.0	1.0
16	TO▁	TO▁	TO▁	null	0.99	0.0	1.0
17	RE	RE	RE	null	1.0	0.0	0.99
18	PEN	PEN	PEN	PEN	1.0	0.01	0.98
19	T▁	T▁	T▁	null	0.99	0.0	1.0
20	THE▁	THE▁	THE▁	null	0.62	0.0	1.0
21	IMP	IMP	IMP	null	1.0	0.0	1.0
22	U	U	U	null	1.0	0.0	1.0
23	L	L	L	null	1.0	0.0	0.53
24	SE▁	SE▁	SE▁	null	1.0	0.0	0.99
25	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
26	MO	MO	MO	null	1.0	0.0	1.0
27	V	V	V	null	0.99	0.0	1.0
28	ED▁	ED▁	ED▁	null	1.0	0.0	0.96
29	HIM▁	HIM▁	HIM▁	null	0.97	0.0	1.0
30	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
31	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
32	W	W	W	null	0.99	0.0	1.0
33	ISH▁	ISH▁	ISH▁	null	1.0	0.0	1.0
34	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
35	BE▁	BE▁	BE▁	null	0.84	0.0	1.0
36	HER▁	HER▁	HER▁	null	0.99	0.0	1.0
37	K	K	K	null	0.49	0.0	1.0
38	NIGHT▁	NIGHT▁	NIGHT▁	null	1.0	0.0	0.97
==================================================

__________________________________________________
idx: 1089-134686-0014
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	HE▁	HE▁	HE▁	null	0.98	0.0	1.0
1	TRI	TRI	TRI	null	1.0	0.0	1.0
2	ED▁	ED▁	ED▁	null	0.95	0.0	1.0
3	TO▁	TO▁	TO▁	null	0.94	0.0	0.99
4	THINK▁	THINK▁	THINK▁	null	1.0	0.0	1.0
5	HOW▁	HOW▁	HOW▁	null	0.97	0.0	1.0
6	IT▁	IT▁	IT▁	null	0.96	0.0	1.0
7	COULD▁	COULD▁	COULD▁	null	1.0	0.0	1.0
8	BE▁	BE▁	BE▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0015
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	BUT▁	BUT▁	BUT▁	null	1.0	0.0	0.95
1	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
2	DU	DU	DU	null	1.0	0.0	1.0
3	S	S	S	null	0.91	0.0	1.0
4	K▁	K▁	K▁	QU	0.99	0.0	0.68
5	DE	DE	DE	null	1.0	0.0	1.0
6	E	E	E	E	1.0	0.0	0.69
7	PEN	P	P	F	0.59	0.04	0.41
8	ING▁	ING▁	ING▁	AM	0.97	0.01	0.37
9	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
10	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
11	SC	SC	SC	null	1.0	0.0	1.0
12	HO	HO	HO	null	0.94	0.0	0.97
13	O	O	O	O	1.0	0.0	0.82
14	L	L	L	L	0.92	0.04	0.82
15	ROOM▁	AR	S▁	AR	0.93	0.99	0.23
16	C	DE	S▁	DE	0.85	1.0	0.25
17	ED▁	C	S▁	C	0.9	0.92	0.22
18	OVER▁	OVER▁	OVER▁	null	0.66	0.0	0.86
19	HIS▁	HIS▁	HIS▁	null	1.0	0.0	0.96
20	T	T	T	null	0.98	0.0	1.0
21	HO	HO	HO	null	1.0	0.0	0.99
22	UG	UG	UG	null	0.98	0.0	1.0
23	H	H	H	null	1.0	0.0	1.0
24	TS▁	TS▁	TS▁	null	1.0	0.0	0.93
25	THE▁	THE▁	THE▁	null	0.76	0.0	1.0
26	BE	BE	BE	null	0.88	0.0	1.0
27	LL▁	LL▁	LL▁	null	1.0	0.0	1.0
28	RA	RA	RA	null	1.0	0.0	1.0
29	NG▁	NG▁	NG▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0016
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THEN▁	THEN▁	THEN▁	null	0.6	0.0	0.99
1	YOU▁	YOU▁	YOU▁	null	1.0	0.0	1.0
2	CAN▁	CAN▁	CAN▁	null	0.82	0.0	1.0
3	AS	AS	AS	null	0.99	0.0	1.0
4	K▁	K▁	K▁	null	1.0	0.0	1.0
5	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
6	QU	QU	QU	null	1.0	0.0	1.0
7	E	E	E	null	1.0	0.0	1.0
8	ST	ST	ST	null	0.97	0.0	1.0
9	IONS▁	IONS▁	IONS▁	null	1.0	0.01	0.9
10	ON▁	ON▁	ON▁	null	1.0	0.0	1.0
11	THE▁	THE▁	THE▁	null	1.0	0.0	0.99
12	CA	CA	CA	null	0.99	0.0	0.59
13	TE	TE	TE	TE	0.99	0.98	0.95
14	CH	S	S	S	1.0	1.0	0.74
15	IS	IMP	M▁	IMP	0.58	0.98	0.27
16	DE	RI	RI	RI	0.85	0.99	1.0
17	D	C	C	null	0.31	0.0	1.0
18	AL	AP	AN	AP	0.64	1.0	0.15
==================================================

__________________________________________________
idx: 1089-134686-0017
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	STE	STE	STE	null	1.0	0.0	0.94
1	P	P	P	null	0.98	0.0	0.99
2	H	H	H	H	0.99	0.0	0.84
3	EN▁	EN▁	EN▁	null	0.95	0.0	0.86
4	LE	LE	LE	null	1.0	0.0	1.0
5	AN	AN	AN	null	1.0	0.0	1.0
6	ING▁	ING▁	ING▁	null	0.74	0.0	1.0
7	BACK▁	BACK▁	BACK▁	null	0.94	0.0	1.0
8	AND▁	AND▁	AND▁	null	0.82	0.0	1.0
9	D	D	D	null	0.92	0.0	1.0
10	RA	RA	RA	null	1.0	0.0	0.99
11	W	W	W	null	1.0	0.0	0.99
12	ING▁	ING▁	ING▁	ALL	1.0	0.0	0.39
13	I	I	I	null	0.87	0.0	1.0
14	D	D	D	D	0.98	0.0	0.85
15	LY▁	LY▁	LY▁	ALLY▁	0.67	0.0	0.75
16	ON▁	ON▁	ON▁	null	1.0	0.0	1.0
17	HIS▁	HIS▁	HIS▁	null	1.0	0.0	1.0
18	SC	SC	SC	null	1.0	0.0	0.96
19	RI	RI	RI	RI	1.0	0.0	1.0
20	B	B	B	B	0.54	0.02	1.0
21	BL	AU	L	AU	0.71	0.95	0.29
22	BL	L	L	L	0.96	0.93	0.89
23	ER▁	AR	AR	AR	1.0	1.0	0.64
24	ER▁	ME	▁	ME	0.91	1.0	0.28
25	LI	L	R	L	0.64	1.0	0.47
26	STE	AR	AR	AR	0.83	1.0	0.45
27	STE	F	▁	F	0.85	1.0	0.24
28	NED▁	AR	U	AR	0.44	1.0	0.26
29	NED▁	D▁	D▁	D	0.91	0.0	0.25
30	TO▁	TO▁	TO▁	null	1.0	0.0	0.99
31	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
32	T	T	T	null	1.0	0.0	1.0
33	AL	AL	AL	null	1.0	0.0	1.0
34	K▁	K▁	K▁	null	0.52	0.0	0.99
35	ABOUT▁	ABOUT▁	ABOUT▁	null	0.99	0.0	0.99
36	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
37	WHICH▁	WHICH▁	WHICH▁	null	1.0	0.0	1.0
38	HER	HER	HER	null	0.71	0.0	0.99
39	ON▁	ON▁	ON▁	ON▁	0.98	0.11	1.0
40	C	C	C	null	0.98	0.0	0.99
41	HE	HE	HE	null	0.99	0.0	0.81
42	C	C	C	null	1.0	0.0	0.99
43	KED▁	KED▁	KED▁	null	0.97	0.0	0.72
44	FROM▁	FROM▁	FROM▁	null	1.0	0.0	1.0
45	TIME▁	TIME▁	TIME▁	null	0.98	0.0	1.0
46	TO▁	TO▁	TO▁	null	1.0	0.0	0.99
47	TIME▁	TIME▁	TIME▁	null	1.0	0.0	1.0
48	BY▁	BY▁	BY▁	null	1.0	0.0	0.99
49	SA	SA	SA	null	1.0	0.0	1.0
50	YING▁	YING▁	YING▁	null	1.0	0.0	0.99
==================================================

__________________________________________________
idx: 1089-134686-0018
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IT▁	IT▁	IT▁	null	0.84	0.0	0.99
1	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
2	STR	STR	STR	null	1.0	0.0	1.0
3	AN	AN	AN	null	1.0	0.0	1.0
4	G	G	G	null	0.99	0.0	0.98
5	E▁	E▁	E▁	null	0.55	0.0	0.91
6	TOO▁	TOO▁	TOO▁	null	0.96	0.0	1.0
7	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
8	HE▁	HE▁	HE▁	null	1.0	0.0	1.0
9	FOUND▁	FOUND▁	FOUND▁	null	1.0	0.0	1.0
10	AN▁	AN▁	AN▁	null	1.0	0.0	1.0
11	AR	AR	AR	null	0.89	0.0	0.92
12	I	RO	RO	RO	0.66	0.0	0.73
13	P	Y	Y	null	0.44	0.02	0.33
14	LEA	A	O	A	0.46	0.65	0.38
15	SURE▁	PO	DE▁	PO	0.19	1.0	0.3
16	SURE▁	C	DE▁	C	0.25	0.83	0.29
17	IN▁	IN▁	IN▁	null	0.69	0.2	0.97
18	FO	FO	FO	null	0.93	0.0	1.0
19	LL	LL	LL	null	0.99	0.0	1.0
20	OWING▁	OWING▁	OWING▁	null	0.99	0.0	1.0
21	UP▁	UP▁	UP▁	null	1.0	0.0	1.0
22	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
23	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
24	END▁	END▁	END▁	null	0.78	0.0	1.0
25	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
26	RI	RI	RI	null	1.0	0.0	1.0
27	G	G	G	null	1.0	0.0	0.61
28	I	I	I	I	1.0	0.0	0.9
29	D▁	D▁	D▁	null	1.0	0.0	0.95
30	L	L	L	null	0.54	0.0	0.99
31	IN	IN	IN	null	0.88	0.0	0.86
32	ES▁	ES▁	ES▁	null	0.53	0.0	0.84
33	OF▁	OF▁	OF▁	null	0.99	0.0	1.0
34	THE▁	THE▁	THE▁	null	0.98	0.0	1.0
35	DO	DO	DO	null	1.0	0.0	1.0
36	C	C	C	null	1.0	0.0	0.98
37	TRI	TRI	TRI	null	1.0	0.03	0.89
38	N	N	N	N	1.0	0.0	0.81
39	ES▁	S▁	S▁	S▁	0.59	0.0	0.73
40	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
41	THE▁	THE▁	THE▁	null	0.97	0.0	1.0
42	CH	CH	CH	null	1.0	0.0	0.99
43	U	U	U	null	1.0	0.0	0.94
44	R	R	R	null	0.92	0.0	1.0
45	CH▁	CH▁	CH▁	null	0.91	0.0	0.86
46	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
47	PEN	PEN	PEN	PEN	1.0	0.0	0.93
48	E	E	E	E	0.99	0.02	1.0
49	TRA	D	D	D	0.94	0.97	0.81
50	TRA	MI	ING▁	MI	0.98	1.0	0.52
51	TRA	TRA	TRA	TRA	0.32	1.0	0.61
52	TING▁	C	C	C	1.0	1.0	1.0
53	TING▁	AP	Y▁	AP	0.54	1.0	0.34
54	TING▁	PE	E▁	PE	0.31	1.0	0.66
55	TING▁	INTO▁	INTO▁	null	0.57	0.36	1.0
56	INTO▁	INTO▁	INTO▁	null	1.0	0.0	1.0
57	O	O	O	null	0.98	0.0	1.0
58	B	B	B	null	1.0	0.0	0.7
59	S	S	S	null	1.0	0.0	0.91
60	CUR	CUR	CUR	null	1.0	0.0	0.71
61	E▁	E▁	E▁	null	1.0	0.0	0.85
62	SI	SI	SI	null	0.97	0.0	1.0
63	L	L	L	null	1.0	0.0	0.55
64	EN	EN	EN	EN	0.69	0.0	0.58
65	C	C	C	C	0.97	0.0	0.72
66	ES▁	ES▁	ES▁	AS	0.8	0.2	0.18
67	ONLY▁	ONLY▁	ONLY▁	null	1.0	0.0	1.0
68	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
69	H	H	H	null	0.94	0.0	1.0
70	EAR▁	EAR▁	EAR▁	null	0.98	0.0	1.0
71	AND▁	AND▁	AND▁	null	0.73	0.0	1.0
72	FE	FE	FE	null	0.99	0.0	1.0
73	EL▁	EL▁	EL▁	null	1.0	0.0	0.99
74	THE▁	THE▁	THE▁	null	0.92	0.0	1.0
75	MORE▁	MORE▁	MORE▁	null	0.52	0.0	1.0
76	DE	DE	DE	null	0.77	0.0	1.0
77	E	E	E	null	1.0	0.0	1.0
78	P	P	P	null	0.96	0.0	0.97
79	LY▁	LY▁	LY▁	null	0.94	0.0	0.29
80	HIS▁	HIS▁	HIS▁	null	0.71	0.0	1.0
81	OWN▁	OWN▁	OWN▁	null	1.0	0.0	1.0
82	CON	CON	CON	null	1.0	0.0	0.99
83	DE	DE	DE	DE	0.9	0.0	0.99
84	M	M	M	PAR	0.91	0.04	0.46
85	N	Y	ATION▁	Y	0.57	0.94	0.82
86	ATION▁	C	C	C	0.99	1.0	0.67
87	ATION▁	HE	ATION▁	HE	0.91	1.0	0.29
88	ATION▁	AD	SI	AD	0.29	1.0	0.4
89	ATION▁	MI	MI	MI	0.45	1.0	0.65
90	ATION▁	GRA	RE▁	GRA	0.55	1.0	0.55
91	ATION▁	YING▁	TION▁	YING▁	0.49	1.0	0.31
==================================================

__________________________________________________
idx: 1089-134686-0019
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
1	S	S	S	null	0.91	0.0	1.0
2	EN	EN	EN	null	1.0	0.0	1.0
3	T	T	T	null	0.96	0.0	1.0
4	ENCE▁	ENCE▁	ENCE▁	AN	1.0	0.0	0.3
5	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
6	SA	SA	SA	null	1.0	0.0	1.0
7	IN	IN	IN	null	1.0	0.0	1.0
8	T▁	T▁	T▁	null	1.0	0.0	1.0
9	JA	JA	JA	null	1.0	0.0	1.0
10	ME	ME	ME	null	0.98	0.0	0.96
11	S▁	S▁	S▁	R	0.98	0.42	0.24
12	WHICH▁	WHICH▁	WHICH▁	null	1.0	0.0	1.0
13	SAYS▁	SAYS▁	SAYS▁	null	1.0	0.0	1.0
14	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
15	HE▁	HE▁	HE▁	null	1.0	0.0	1.0
16	WHO▁	WHO▁	WHO▁	null	1.0	0.0	1.0
17	OFF	OFF	OFF	null	1.0	0.0	1.0
18	EN	EN	EN	EN	0.95	0.0	0.99
19	D	D	D	null	0.8	0.0	0.98
20	S▁	S▁	S▁	null	0.99	0.0	0.29
21	AGAINST▁	AGAINST▁	AGAINST▁	null	1.0	0.0	1.0
22	ONE▁	ONE▁	ONE▁	null	0.97	0.0	1.0
23	COM	COM	COM	null	1.0	0.0	1.0
24	M	M	M	null	0.79	0.0	0.83
25	AND	AND	AND	AND	0.99	0.02	0.69
26	MENT▁	MENT▁	MENT▁	null	0.63	0.0	1.0
27	BE	BE	BE	null	1.0	0.0	1.0
28	COM	COM	COM	null	0.67	0.0	1.0
29	ES▁	ES▁	ES▁	null	0.92	0.0	0.94
30	GU	GU	GU	null	0.88	0.0	1.0
31	I	I	I	null	0.63	0.0	0.99
32	L	L	L	null	1.0	0.0	0.53
33	TY▁	TY▁	TY▁	null	1.0	0.0	0.79
34	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
35	ALL▁	ALL▁	ALL▁	null	0.98	0.0	1.0
36	HAD▁	HAD▁	HAD▁	null	1.0	0.0	1.0
37	SEEMED▁	SEEMED▁	SEEMED▁	null	0.99	0.0	1.0
38	TO▁	TO▁	TO▁	null	1.0	0.0	0.99
39	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
40	FIRST▁	FIRST▁	FIRST▁	null	1.0	0.0	0.99
41	A▁	A▁	A▁	null	0.99	0.0	1.0
42	S	S	S	null	0.97	0.0	0.99
43	W	W	W	null	1.0	0.0	0.53
44	O	O	O	null	0.85	0.0	0.93
45	LL	LL	LL	null	1.0	0.0	0.89
46	EN▁	EN▁	EN▁	null	0.82	0.0	1.0
47	P	P	P	null	0.99	0.0	0.94
48	H	H	H	null	0.98	0.0	0.55
49	RA	RA	RA	null	0.97	0.0	0.89
50	SE▁	SE▁	SE▁	I	0.98	0.0	0.55
51	UNTIL▁	UNTIL▁	UNTIL▁	null	0.98	0.0	1.0
52	HE▁	HE▁	HE▁	null	0.64	0.0	1.0
53	HAD▁	HAD▁	HAD▁	null	1.0	0.0	1.0
54	BE	BE	BE	null	1.0	0.0	1.0
55	GU	GU	GU	null	0.62	0.0	1.0
56	N▁	N▁	N▁	null	0.99	0.0	1.0
57	TO▁	TO▁	TO▁	null	0.6	0.0	0.99
58	G	G	G	null	1.0	0.0	0.98
59	RO	RO	RO	RO	1.0	0.0	0.67
60	P	P	P	null	0.55	0.0	0.98
61	E▁	E▁	E▁	HA	0.96	0.01	0.28
62	IN▁	IN▁	IN▁	null	0.94	0.0	1.0
63	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
64	D	D	D	null	1.0	0.0	1.0
65	AR	AR	AR	null	1.0	0.0	0.77
66	K	K	K	null	1.0	0.0	0.98
67	NESS▁	NESS▁	NESS▁	null	1.0	0.0	0.81
68	OF▁	OF▁	OF▁	null	0.99	0.0	1.0
69	HIS▁	HIS▁	HIS▁	null	0.87	0.0	1.0
70	OWN▁	OWN▁	OWN▁	null	1.0	0.0	1.0
71	ST	ST	ST	null	1.0	0.0	1.0
72	ATE▁	ATE▁	ATE▁	null	0.59	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0020
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IF▁	IF▁	IF▁	null	0.97	0.0	0.97
1	A▁	A▁	A▁	null	1.0	0.0	1.0
2	MAN▁	MAN▁	MAN▁	null	1.0	0.0	1.0
3	HAD▁	HAD▁	HAD▁	null	0.87	0.0	1.0
4	STO	STO	STO	null	1.0	0.0	1.0
5	L	L	L	null	0.65	0.0	1.0
6	EN▁	EN▁	EN▁	'	0.91	0.27	0.75
7	A▁	A▁	A▁	null	1.0	0.0	1.0
8	PO	PO	PO	null	0.97	0.0	1.0
9	UN	UN	UN	null	0.97	0.0	1.0
10	D▁	D▁	D▁	null	1.0	0.0	0.72
11	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
12	HIS▁	HIS▁	HIS▁	null	0.54	0.0	1.0
13	YOU	YOU	YOU	null	1.0	0.0	1.0
14	TH▁	TH▁	TH▁	null	1.0	0.0	1.0
15	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
16	HAD▁	HAD▁	HAD▁	null	0.65	0.0	1.0
17	USED▁	USED▁	USED▁	null	0.99	0.0	1.0
18	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
19	PO	PO	PO	null	0.58	0.0	1.0
20	UN	UN	UN	null	0.57	0.0	1.0
21	D▁	D▁	D▁	null	1.0	0.0	0.91
22	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
23	AM	A▁	A▁	null	1.0	0.0	1.0
24	AS	MA	MA	null	0.99	0.0	1.0
25	AS	S	S	null	1.0	0.0	0.98
26	S▁	S▁	S▁	null	0.83	0.0	0.98
27	A▁	A▁	A▁	null	0.68	0.0	0.99
28	HU	HU	HU	null	1.0	0.0	1.0
29	G	G	G	null	1.0	0.0	1.0
30	E▁	E▁	E▁	null	1.0	0.0	0.96
31	FOR	FOR	FOR	null	0.99	0.0	1.0
32	T	T	T	null	1.0	0.0	1.0
33	UN	UN	UN	null	1.0	0.0	0.95
34	E▁	E▁	E▁	null	0.99	0.0	0.88
35	HOW▁	HOW▁	HOW▁	null	1.0	0.0	1.0
36	MUCH▁	MUCH▁	MUCH▁	null	1.0	0.0	1.0
37	WAS▁	WAS▁	WAS▁	null	0.95	0.0	1.0
38	HE▁	HE▁	HE▁	null	0.99	0.0	1.0
39	O	O	O	null	0.97	0.0	1.0
40	B	B	B	null	0.97	0.0	0.94
41	LI	LI	LI	null	1.0	0.0	1.0
42	G	G	G	null	0.93	0.0	0.98
43	ED▁	ED▁	ED▁	null	0.98	0.0	0.75
44	TO▁	TO▁	TO▁	null	0.7	0.0	1.0
45	GIVE▁	GIVE▁	GIVE▁	null	1.0	0.0	1.0
46	BACK▁	BACK▁	BACK▁	null	0.99	0.0	1.0
47	THE▁	THE▁	THE▁	null	0.74	0.0	1.0
48	PO	PO	PO	null	1.0	0.0	1.0
49	UN	UN	UN	null	0.89	0.0	1.0
50	D▁	D▁	D▁	null	0.61	0.0	0.98
51	HE▁	HE▁	HE▁	null	0.71	0.0	1.0
52	HAD▁	HAD▁	HAD▁	null	0.98	0.0	1.0
53	STO	STO	STO	null	1.0	0.0	1.0
54	L	L	L	null	0.99	0.0	1.0
55	EN▁	EN▁	EN▁	'	0.96	0.32	0.82
56	ONLY▁	ONLY▁	ONLY▁	null	1.0	0.0	0.99
57	OR▁	WERE▁	WERE▁	null	0.88	0.0	1.0
58	THE▁	THE▁	THE▁	null	0.75	0.0	1.0
59	PO	PO	PO	null	1.0	0.0	1.0
60	UN	UN	UN	null	1.0	0.0	1.0
61	D▁	D▁	D▁	null	0.99	0.0	0.8
62	TOGETHER▁	TOGETHER▁	TOGETHER▁	null	1.0	0.0	1.0
63	WITH▁	WITH▁	WITH▁	null	1.0	0.0	1.0
64	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
65	COM	COM	COM	null	0.99	0.0	1.0
66	PO	PO	PO	PO	1.0	0.0	0.98
67	UN	UN	UN	null	0.9	0.01	0.74
68	D▁	D▁	D▁	BE	0.95	0.15	0.33
69	INTER	INTER	INTER	null	1.0	0.0	1.0
70	EST▁	EST▁	EST▁	null	1.0	0.0	1.0
71	AC	A▁	A▁	null	0.99	0.0	1.0
72	C	C	C	null	0.99	0.0	0.96
73	R	R	R	R	0.99	0.0	0.95
74	U	U	U	null	0.56	0.0	0.51
75	ING▁	RA	EL	RA	0.38	0.64	0.63
76	ING▁	E	E	E	0.61	0.95	0.55
77	UPON▁	U	ING▁	U	0.76	1.0	0.25
78	UPON▁	OR▁	OR▁	null	0.87	0.03	1.0
79	OR▁	OR▁	OR▁	null	1.0	0.0	1.0
80	ALL▁	ALL▁	ALL▁	null	1.0	0.0	1.0
81	HIS▁	HIS▁	HIS▁	null	1.0	0.0	0.99
82	HU	HU	HU	null	0.96	0.0	1.0
83	G	G	G	null	0.92	0.0	1.0
84	E▁	E▁	E▁	null	1.0	0.0	0.99
85	FOR	FOR	FOR	null	0.97	0.0	1.0
86	T	T	T	null	0.76	0.0	1.0
87	UN	UN	UN	null	1.0	0.0	0.96
88	E▁	E▁	E▁	null	0.97	0.0	0.88
==================================================

__________________________________________________
idx: 1089-134686-0021
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IF▁	IF▁	IF▁	null	1.0	0.0	0.96
1	A▁	A▁	A▁	null	1.0	0.0	0.94
2	LA	LA	LA	null	1.0	0.0	0.98
3	Y	Y	Y	Y	0.69	0.01	0.86
4	MAN▁	MAN▁	MAN▁	AN	0.33	0.02	0.49
5	IN▁	IN▁	IN▁	null	0.99	0.0	1.0
6	G	G	G	null	1.0	0.0	1.0
7	I	I	I	null	0.5	0.0	0.94
8	V	V	V	null	1.0	0.0	0.98
9	ING▁	ING▁	ING▁	null	0.85	0.0	0.97
10	B	B	B	null	1.0	0.0	0.99
11	AP	AP	AP	AP	1.0	0.0	1.0
12	TI	TI	TI	null	1.0	0.02	0.87
13	S	S	S	null	0.59	0.02	0.64
14	M▁	M▁	M▁	HE	0.91	0.45	0.13
15	P	P	P	null	0.78	0.0	1.0
16	OUR▁	OUR▁	OUR▁	null	1.0	0.0	1.0
17	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
18	WATER▁	WATER▁	WATER▁	null	1.0	0.0	1.0
19	BEFORE▁	BEFORE▁	BEFORE▁	null	1.0	0.0	1.0
20	SA	SA	SA	null	1.0	0.0	0.97
21	YING▁	YING▁	YING▁	null	0.98	0.0	0.97
22	THE▁	THE▁	THE▁	null	0.93	0.0	1.0
23	WORDS▁	WORDS▁	WORDS▁	null	0.99	0.0	1.0
24	IS▁	IS▁	IS▁	null	1.0	0.0	1.0
25	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
